ALUNO_ID;DESC_ASSUNTO;DT_LANCADO
4.120.707;XADREZ;11.02.0014
4.120.392;APOIO PEDAGÓGICO DE LINGUA PORTUGUESA;12.02.0014
4.120.661;MED 30+BIOLOGIA;11.08.0014
4.120.191;APOIO PEDAGÓGICO DE LINGUA PORTUGUESA;20.08.0014
4.120.706;APOIO PEDAGÓGICO DE LINGUA PORTUGUESA;26.08.0014
4.120.253;MONITORIA DE QUIMICA;20.12.0014
4.120.396;MONITORIA DE QUIMICA;20.12.0014
4.120.296;OFICINA DE REDAÇÃO;26.08.0201
4.120.722;OFICINA DE REDAÇÃO;26.08.0201
4.120.361;TAREFA;30.12.1899
4.120.701;APOIO PEDAGÓGICO DE MATEMÁTICA;30.12.1899
4.120.220;TAREFA;30.12.1899
4.120.254;TAREFA;30.12.1899
4.120.766;TAREFA;30.12.1899
4.120.681;DIREÇÃO;30.12.1899
4.120.574;FALTA REGULAR MATUTINO;30.12.1899
4.120.741;FALTA REGULAR MATUTINO;30.12.1899
1.121.424;MONITORIA DE FÍSICA;01.11.2012
120.073;FALTA REGULAR MATUTINO;21.01.2014
120.163;FALTA REGULAR MATUTINO;21.01.2014
120.277;FALTA REGULAR MATUTINO;21.01.2014
120.341;FALTA REGULAR MATUTINO;21.01.2014
1.120.794;FALTA REGULAR MATUTINO;21.01.2014
1.121.130;FALTA REGULAR MATUTINO;21.01.2014
1.121.192;FALTA REGULAR MATUTINO;21.01.2014
1.121.269;FALTA REGULAR MATUTINO;21.01.2014
1.121.277;FALTA REGULAR MATUTINO;21.01.2014
1.121.350;FALTA REGULAR MATUTINO;21.01.2014
1.121.421;FALTA REGULAR MATUTINO;21.01.2014
1.121.521;FALTA REGULAR MATUTINO;21.01.2014
1.121.640;FALTA REGULAR MATUTINO;21.01.2014
4.120.019;FALTA REGULAR MATUTINO;21.01.2014
4.120.029;FALTA REGULAR MATUTINO;21.01.2014
4.120.148;FALTA REGULAR MATUTINO;21.01.2014
4.120.229;FALTA REGULAR MATUTINO;21.01.2014
4.120.270;FALTA REGULAR MATUTINO;21.01.2014
4.120.274;FALTA REGULAR MATUTINO;21.01.2014
4.120.298;FALTA REGULAR MATUTINO;21.01.2014
4.120.311;FALTA REGULAR MATUTINO;21.01.2014
4.120.331;FALTA REGULAR MATUTINO;21.01.2014
4.120.343;FALTA REGULAR MATUTINO;21.01.2014
4.120.373;FALTA REGULAR MATUTINO;21.01.2014
4.120.495;FALTA REGULAR MATUTINO;21.01.2014
4.120.546;FALTA REGULAR MATUTINO;21.01.2014
4.120.569;FALTA REGULAR MATUTINO;21.01.2014
4.120.609;FALTA REGULAR MATUTINO;21.01.2014
4.120.613;FALTA REGULAR MATUTINO;21.01.2014
4.120.632;FALTA REGULAR MATUTINO;21.01.2014
4.120.643;FALTA REGULAR MATUTINO;21.01.2014
4.120.648;FALTA REGULAR MATUTINO;21.01.2014
4.120.665;FALTA REGULAR MATUTINO;21.01.2014
4.120.690;FALTA REGULAR MATUTINO;21.01.2014
4.120.712;FALTA REGULAR MATUTINO;21.01.2014
4.120.720;FALTA REGULAR MATUTINO;21.01.2014
4.120.723;FALTA REGULAR MATUTINO;21.01.2014
4.120.761;FALTA REGULAR MATUTINO;21.01.2014
4.120.762;FALTA REGULAR MATUTINO;21.01.2014
4.120.763;FALTA REGULAR MATUTINO;21.01.2014
4.120.769;FALTA REGULAR MATUTINO;21.01.2014
1.121.250;SAIU ANTES DO TÉRMINO DAS AULAS MATUTINO;21.01.2014
1.121.447;SAIU ANTES DO TÉRMINO DAS AULAS MATUTINO;21.01.2014
4.120.365;SAIU ANTES DO TÉRMINO DAS AULAS MATUTINO;21.01.2014
4.120.404;SAIU ANTES DO TÉRMINO DAS AULAS MATUTINO;21.01.2014
4.120.663;SAIU ANTES DO TÉRMINO DAS AULAS MATUTINO;21.01.2014
4.120.700;SAIU ANTES DO TÉRMINO DAS AULAS MATUTINO;21.01.2014
4.120.727;SAIU ANTES DO TÉRMINO DAS AULAS MATUTINO;21.01.2014
4.120.779;SAIU ANTES DO TÉRMINO DAS AULAS MATUTINO;21.01.2014
4.120.082;SAIU ANTES DO TÉRMINO DAS AULAS VESPERTINO.;21.01.2014
120.073;FALTA REGULAR MATUTINO;22.01.2014
120.163;FALTA REGULAR MATUTINO;22.01.2014
120.277;FALTA REGULAR MATUTINO;22.01.2014
120.341;FALTA REGULAR MATUTINO;22.01.2014
1.120.712;FALTA REGULAR MATUTINO;22.01.2014
1.121.277;FALTA REGULAR MATUTINO;22.01.2014
1.121.350;FALTA REGULAR MATUTINO;22.01.2014
